t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,-0.1,1.0)","(1.68,-0.02,0.99)","(3.37,-0.03,0.95)","(5.05,-0.09,0.89)","(6.74,-0.04,0.8)","(8.42,0.06,0.69)","(10.1,-0.03,0.56)","(11.79,-0.02,0.4)","(13.47,-0.06,0.22)","(15.16,-0.03,0.01)","(16.84,-0.0,0)","(18.53,0.02,0)","(20.21,0.06,0)",
"(0.0,-0.03,1.0)","(2.04,0.1,0.99)","(4.08,0.1,0.95)","(6.12,0.05,0.89)","(8.15,-0.05,0.8)","(10.19,-0.07,0.69)","(12.23,-0.03,0.56)","(14.27,0.03,0.4)","(16.31,0.1,0.22)","(18.35,-0.03,0.01)","(20.38,-0.01,0)",,,
"(0.0,0.01,1.0)","(1.77,0.05,0.99)","(3.54,-0.03,0.95)","(5.31,-0.1,0.89)","(7.09,0.06,0.8)","(8.86,-0.07,0.69)","(10.63,0.06,0.56)","(12.4,0.08,0.4)","(14.17,-0.09,0.22)","(15.94,-0.01,0.01)","(17.71,0.0,0)","(19.49,0.04,0)","(21.26,-0.04,0)",
"(0.0,0.03,1.0)","(1.98,-0.06,0.99)","(3.97,0.0,0.95)","(5.95,-0.06,0.89)","(7.93,0.09,0.8)","(9.92,0.02,0.69)","(11.9,-0.03,0.56)","(13.88,0.08,0.4)","(15.87,-0.08,0.22)","(17.85,0.07,0.01)","(19.83,0.1,0)","(21.82,-0.06,0)",,
"(0.0,-0.08,1.0)","(1.9,-0.09,0.99)","(3.8,-0.05,0.95)","(5.69,-0.03,0.89)","(7.59,0.04,0.8)","(9.49,0.08,0.69)","(11.39,0.0,0.56)","(13.29,-0.06,0.4)","(15.18,0.04,0.22)","(17.08,-0.02,0.01)","(18.98,-0.07,0)","(20.88,-0.05,0)",,
"(0.0,0.08,1.0)","(1.72,-0.05,0.99)","(3.44,0.1,0.95)","(5.17,-0.03,0.89)","(6.89,0.08,0.8)","(8.61,0.08,0.69)","(10.33,-0.05,0.56)","(12.06,0.09,0.4)","(13.78,-0.06,0.22)","(15.5,0.04,0.01)","(17.22,0.06,0)","(18.95,-0.02,0)","(20.67,-0.09,0)",
"(0.0,-0.02,1.0)","(2.08,-0.03,0.99)","(4.15,-0.04,0.95)","(6.23,-0.02,0.89)","(8.3,0.1,0.8)","(10.38,0.1,0.69)","(12.45,0.03,0.56)","(14.53,0.08,0.4)","(16.6,-0.01,0.22)","(18.68,0.02,0.01)","(20.76,-0.1,0)",,,
"(0.0,-0.07,1.0)","(1.87,0.08,0.99)","(3.75,-0.08,0.95)","(5.62,-0.0,0.89)","(7.5,0.04,0.8)","(9.37,0.08,0.69)","(11.24,-0.01,0.56)","(13.12,0.06,0.4)","(14.99,0.05,0.22)","(16.87,0.04,0.01)","(18.74,0.08,0)","(20.61,-0.02,0)",,
"(0.0,-0.07,1.0)","(1.73,-0.05,0.99)","(3.46,-0.06,0.95)","(5.19,-0.06,0.89)","(6.92,0.07,0.8)","(8.66,0.09,0.69)","(10.39,0.01,0.56)","(12.12,-0.02,0.4)","(13.85,-0.03,0.22)","(15.58,0.06,0.01)","(17.31,-0.02,0)","(19.04,0.02,0)","(20.77,0.08,0)",
"(0.0,0.03,1.0)","(1.97,-0.02,0.99)","(3.93,-0.08,0.95)","(5.9,-0.0,0.89)","(7.86,-0.05,0.8)","(9.83,0.0,0.69)","(11.79,0.02,0.56)","(13.76,0.05,0.4)","(15.72,0.04,0.22)","(17.69,-0.02,0.01)","(19.65,-0.07,0)","(21.62,-0.03,0)",,
"(0.0,-0.1,1.0)","(1.98,-0.09,0.99)","(3.96,0.05,0.95)","(5.94,-0.07,0.89)","(7.92,0.05,0.8)","(9.89,-0.07,0.69)","(11.87,-0.01,0.56)","(13.85,0.01,0.4)","(15.83,-0.08,0.22)","(17.81,0.07,0.01)","(19.79,-0.06,0)","(21.77,0.08,0)",,
"(0.0,0.02,1.0)","(1.93,-0.01,0.99)","(3.85,0.05,0.95)","(5.78,-0.05,0.89)","(7.71,0.01,0.8)","(9.63,-0.02,0.69)","(11.56,0.08,0.56)","(13.49,-0.03,0.4)","(15.41,-0.01,0.22)","(17.34,-0.01,0.01)","(19.27,-0.0,0)","(21.19,-0.07,0)",,
"(0.0,-0.06,1.0)","(2.01,-0.03,0.99)","(4.03,0.1,0.95)","(6.04,0.01,0.89)","(8.06,-0.02,0.8)","(10.07,0.0,0.69)","(12.09,-0.05,0.56)","(14.1,0.05,0.4)","(16.12,0.1,0.22)","(18.13,0.08,0.01)","(20.14,0.06,0)",,,
"(0.0,0.06,1.0)","(1.72,-0.08,0.99)","(3.45,-0.09,0.95)","(5.17,0.08,0.89)","(6.9,0.05,0.8)","(8.62,0.09,0.69)","(10.34,-0.09,0.56)","(12.07,0.04,0.4)","(13.79,0.05,0.22)","(15.51,-0.04,0.01)","(17.24,0.09,0)","(18.96,0.07,0)","(20.69,0.04,0)",
"(0.0,-0.04,1.0)","(1.87,-0.02,0.99)","(3.73,-0.09,0.95)","(5.6,0.06,0.89)","(7.46,0.03,0.8)","(9.33,-0.1,0.69)","(11.2,0.02,0.56)","(13.06,0.0,0.4)","(14.93,-0.1,0.22)","(16.79,0.03,0.01)","(18.66,-0.01,0)","(20.53,-0.08,0)",,
"(0.0,0.04,1.0)","(1.7,0.03,0.99)","(3.4,0.02,0.95)","(5.1,0.05,0.89)","(6.81,-0.01,0.8)","(8.51,-0.02,0.69)","(10.21,0.08,0.56)","(11.91,-0.08,0.4)","(13.61,-0.04,0.22)","(15.31,-0.03,0.01)","(17.01,0.06,0)","(18.71,-0.05,0)","(20.42,-0.09,0)",
"(0.0,-0.0,1.0)","(1.87,0.02,0.99)","(3.74,0.04,0.95)","(5.61,-0.08,0.89)","(7.48,-0.08,0.8)","(9.35,0.02,0.69)","(11.22,-0.05,0.56)","(13.08,0.0,0.4)","(14.95,-0.04,0.22)","(16.82,0.07,0.01)","(18.69,0.01,0)","(20.56,0.0,0)",,
"(0.0,0.08,1.0)","(1.8,0.04,0.99)","(3.6,-0.08,0.95)","(5.39,0.1,0.89)","(7.19,-0.07,0.8)","(8.99,-0.02,0.69)","(10.79,-0.02,0.56)","(12.59,0.06,0.4)","(14.38,0.09,0.22)","(16.18,0.04,0.01)","(17.98,0.09,0)","(19.78,-0.01,0)","(21.58,0.03,0)",
"(0.0,-0.04,1.0)","(1.76,0.07,0.99)","(3.53,-0.1,0.95)","(5.29,0.06,0.89)","(7.06,0.09,0.8)","(8.82,0.08,0.69)","(10.58,0.04,0.56)","(12.35,0.06,0.4)","(14.11,-0.01,0.22)","(15.88,-0.04,0.01)","(17.64,-0.02,0)","(19.41,0.07,0)","(21.17,0.05,0)",
"(0.0,0.02,1.0)","(1.89,0.04,0.99)","(3.77,-0.04,0.95)","(5.66,-0.09,0.89)","(7.54,0.04,0.8)","(9.43,0.08,0.69)","(11.32,0.04,0.56)","(13.2,-0.08,0.4)","(15.09,-0.02,0.22)","(16.97,-0.1,0.01)","(18.86,0.04,0)","(20.75,0.01,0)",,
"(0.0,0.02,1.0)","(2.03,0.09,0.99)","(4.05,0.05,0.95)","(6.08,0.05,0.89)","(8.1,0.04,0.8)","(10.13,0.03,0.69)","(12.15,-0.0,0.56)","(14.18,-0.03,0.4)","(16.21,-0.0,0.22)","(18.23,-0.04,0.01)","(20.26,-0.1,0)",,,
"(0.0,0.07,1.0)","(1.84,-0.01,0.99)","(3.68,0.1,0.95)","(5.52,-0.07,0.89)","(7.37,0.07,0.8)","(9.21,-0.04,0.69)","(11.05,-0.04,0.56)","(12.89,-0.07,0.4)","(14.73,0.08,0.22)","(16.57,0.06,0.01)","(18.42,0.08,0)","(20.26,0.02,0)",,
"(0.0,0.0,1.0)","(1.85,0.08,0.99)","(3.69,0.04,0.95)","(5.54,0.07,0.89)","(7.38,0.04,0.8)","(9.23,0.06,0.69)","(11.07,0.08,0.56)","(12.92,-0.01,0.4)","(14.76,0.08,0.22)","(16.61,0.06,0.01)","(18.45,0.09,0)","(20.3,-0.02,0)",,
"(0.0,0.06,1.0)","(1.89,0.04,0.99)","(3.78,0.09,0.95)","(5.68,-0.1,0.89)","(7.57,0.01,0.8)","(9.46,-0.09,0.69)","(11.35,-0.07,0.56)","(13.25,0.08,0.4)","(15.14,-0.08,0.22)","(17.03,0.01,0.01)","(18.92,-0.03,0)","(20.82,0.1,0)",,
"(0.0,0.08,1.0)","(1.91,-0.07,0.99)","(3.82,0.05,0.95)","(5.73,-0.0,0.89)","(7.64,0.08,0.8)","(9.55,-0.0,0.69)","(11.46,-0.06,0.56)","(13.37,0.06,0.4)","(15.28,0.01,0.22)","(17.19,0.07,0.01)","(19.1,-0.1,0)","(21.01,-0.0,0)",,
"(0.0,0.03,1.0)","(1.92,0.0,0.99)","(3.84,0.05,0.95)","(5.76,0.04,0.89)","(7.68,0.02,0.8)","(9.6,-0.1,0.69)","(11.52,0.09,0.56)","(13.44,-0.1,0.4)","(15.36,-0.04,0.22)","(17.28,-0.09,0.01)","(19.2,0.06,0)","(21.12,-0.04,0)",,
"(0.0,-0.05,1.0)","(2.04,0.06,0.99)","(4.09,-0.01,0.95)","(6.13,0.06,0.89)","(8.17,-0.09,0.8)","(10.21,-0.08,0.69)","(12.26,-0.1,0.56)","(14.3,-0.01,0.4)","(16.34,0.08,0.22)","(18.39,-0.07,0.01)","(20.43,0.03,0)",,,
"(0.0,-0.04,1.0)","(1.95,0.04,0.99)","(3.91,0.06,0.95)","(5.86,0.01,0.89)","(7.81,0.09,0.8)","(9.77,0.08,0.69)","(11.72,0.06,0.56)","(13.67,-0.03,0.4)","(15.63,-0.08,0.22)","(17.58,-0.05,0.01)","(19.53,-0.03,0)","(21.49,0.07,0)",,
"(0.0,0.04,1.0)","(1.89,-0.03,0.99)","(3.78,0.06,0.95)","(5.67,0.0,0.89)","(7.57,0.07,0.8)","(9.46,0.08,0.69)","(11.35,-0.06,0.56)","(13.24,-0.08,0.4)","(15.13,0.05,0.22)","(17.02,-0.05,0.01)","(18.92,0.0,0)","(20.81,0.05,0)",,
"(0.0,0.09,1.0)","(1.86,0.09,0.99)","(3.72,0.01,0.95)","(5.58,-0.02,0.89)","(7.44,-0.09,0.8)","(9.3,0.06,0.69)","(11.16,0.05,0.56)","(13.02,-0.06,0.4)","(14.87,-0.05,0.22)","(16.73,-0.02,0.01)","(18.59,-0.02,0)","(20.45,-0.04,0)",,
"(0.0,-0.02,1.0)","(2.01,-0.06,0.99)","(4.03,0.08,0.95)","(6.04,0.08,0.89)","(8.05,0.0,0.8)","(10.06,-0.03,0.69)","(12.08,-0.07,0.56)","(14.09,-0.08,0.4)","(16.1,-0.07,0.22)","(18.12,0.01,0.01)","(20.13,-0.01,0)",,,
"(0.0,0.06,1.0)","(1.91,-0.09,0.99)","(3.82,-0.05,0.95)","(5.73,-0.08,0.89)","(7.64,0.02,0.8)","(9.55,-0.0,0.69)","(11.46,0.01,0.56)","(13.37,-0.08,0.4)","(15.28,0.02,0.22)","(17.19,-0.03,0.01)","(19.1,0.08,0)","(21.01,-0.09,0)",,
"(0.0,-0.08,1.0)","(1.79,-0.1,0.99)","(3.58,0.07,0.95)","(5.38,0.09,0.89)","(7.17,-0.06,0.8)","(8.96,-0.09,0.69)","(10.75,0.03,0.56)","(12.54,0.09,0.4)","(14.33,-0.08,0.22)","(16.13,-0.02,0.01)","(17.92,-0.04,0)","(19.71,-0.08,0)","(21.5,-0.02,0)",
"(0.0,0.01,1.0)","(2.04,0.05,0.99)","(4.09,-0.09,0.95)","(6.13,0.05,0.89)","(8.17,-0.01,0.8)","(10.22,0.0,0.69)","(12.26,0.03,0.56)","(14.31,0.09,0.4)","(16.35,0.01,0.22)","(18.39,-0.08,0.01)","(20.44,-0.07,0)",,,
"(0.0,-0.0,1.0)","(1.85,-0.08,0.99)","(3.69,-0.01,0.95)","(5.54,-0.01,0.89)","(7.38,0.02,0.8)","(9.23,0.09,0.69)","(11.07,0.02,0.56)","(12.92,-0.07,0.4)","(14.76,0.08,0.22)","(16.61,-0.03,0.01)","(18.45,0.02,0)","(20.3,-0.0,0)",,
"(0.0,0.07,1.0)","(1.99,-0.03,0.99)","(3.98,0.02,0.95)","(5.97,-0.09,0.89)","(7.96,0.04,0.8)","(9.95,-0.06,0.69)","(11.94,-0.07,0.56)","(13.93,-0.01,0.4)","(15.92,-0.09,0.22)","(17.91,-0.02,0.01)","(19.91,0.06,0)","(21.9,0.06,0)",,
"(0.0,0.01,1.0)","(2.04,-0.05,0.99)","(4.08,0.06,0.95)","(6.13,0.08,0.89)","(8.17,-0.01,0.8)","(10.21,-0.06,0.69)","(12.25,-0.04,0.56)","(14.29,-0.06,0.4)","(16.34,0.07,0.22)","(18.38,-0.08,0.01)","(20.42,0.04,0)",,,
"(0.0,-0.09,1.0)","(1.92,0.0,0.99)","(3.83,0.1,0.95)","(5.75,0.04,0.89)","(7.67,-0.08,0.8)","(9.58,-0.08,0.69)","(11.5,-0.09,0.56)","(13.42,0.01,0.4)","(15.33,-0.08,0.22)","(17.25,0.06,0.01)","(19.17,-0.04,0)","(21.09,-0.05,0)",,
"(0.0,-0.03,1.0)","(1.98,0.07,0.99)","(3.95,-0.07,0.95)","(5.93,-0.09,0.89)","(7.91,-0.08,0.8)","(9.88,-0.06,0.69)","(11.86,0.01,0.56)","(13.84,-0.08,0.4)","(15.81,-0.04,0.22)","(17.79,-0.07,0.01)","(19.77,0.07,0)","(21.74,0.09,0)",,
"(0.0,0.05,1.0)","(2.08,0.03,0.99)","(4.17,-0.02,0.95)","(6.25,0.06,0.89)","(8.33,-0.09,0.8)","(10.42,0.09,0.69)","(12.5,-0.03,0.56)","(14.58,-0.01,0.4)","(16.67,0.03,0.22)","(18.75,0.06,0.01)","(20.83,-0.04,0)",,,
"(0.0,-0.04,1.0)","(2.02,0.04,0.99)","(4.03,0.08,0.95)","(6.05,0.02,0.89)","(8.06,0.09,0.8)","(10.08,0.02,0.69)","(12.1,0.04,0.56)","(14.11,0.09,0.4)","(16.13,0.04,0.22)","(18.15,-0.05,0.01)","(20.16,-0.1,0)",,,
"(0.0,0.06,1.0)","(1.72,-0.06,0.99)","(3.44,-0.02,0.95)","(5.16,0.06,0.89)","(6.87,0.02,0.8)","(8.59,-0.02,0.69)","(10.31,-0.05,0.56)","(12.03,0.1,0.4)","(13.75,0.06,0.22)","(15.47,0.01,0.01)","(17.19,0.03,0)","(18.9,-0.06,0)","(20.62,0.04,0)",
"(0.0,0.09,1.0)","(1.87,-0.08,0.99)","(3.73,-0.05,0.95)","(5.6,0.06,0.89)","(7.46,0.09,0.8)","(9.33,0.01,0.69)","(11.19,0.08,0.56)","(13.06,0.01,0.4)","(14.93,0.08,0.22)","(16.79,-0.01,0.01)","(18.66,0.08,0)","(20.52,0.09,0)",,
"(0.0,0.03,1.0)","(1.82,-0.1,0.99)","(3.64,-0.02,0.95)","(5.46,-0.1,0.89)","(7.28,0.08,0.8)","(9.1,0.01,0.69)","(10.93,0.01,0.56)","(12.75,0.04,0.4)","(14.57,0.1,0.22)","(16.39,0.08,0.01)","(18.21,-0.06,0)","(20.03,-0.02,0)","(21.85,-0.09,0)",
"(0.0,-0.07,1.0)","(2.01,0.09,0.99)","(4.02,0.02,0.95)","(6.02,-0.08,0.89)","(8.03,0.0,0.8)","(10.04,0.04,0.69)","(12.05,0.06,0.56)","(14.06,-0.03,0.4)","(16.06,-0.06,0.22)","(18.07,0.07,0.01)","(20.08,-0.02,0)","(22.09,0.0,0)",,
"(0.0,-0.1,1.0)","(2.01,0.08,0.99)","(4.02,-0.1,0.95)","(6.04,0.01,0.89)","(8.05,-0.02,0.8)","(10.06,0.04,0.69)","(12.07,0.06,0.56)","(14.09,0.08,0.4)","(16.1,0.08,0.22)","(18.11,0.07,0.01)","(20.12,0.07,0)",,,
"(0.0,0.05,1.0)","(1.8,-0.08,0.99)","(3.6,-0.03,0.95)","(5.4,0.02,0.89)","(7.2,-0.05,0.8)","(9.0,0.09,0.69)","(10.8,0.01,0.56)","(12.6,-0.05,0.4)","(14.4,-0.01,0.22)","(16.2,0.08,0.01)","(18.0,-0.02,0)","(19.8,0.01,0)","(21.6,-0.09,0)",
"(0.0,0.01,1.0)","(1.67,-0.01,0.99)","(3.35,0.09,0.95)","(5.02,0.08,0.89)","(6.69,0.02,0.8)","(8.36,-0.03,0.69)","(10.04,-0.0,0.56)","(11.71,0.08,0.4)","(13.38,0.04,0.22)","(15.05,0.09,0.01)","(16.73,-0.05,0)","(18.4,-0.07,0)","(20.07,-0.02,0)","(21.74,0.07,0)"
"(0.0,-0.0,1.0)","(1.75,0.1,0.99)","(3.5,0.04,0.95)","(5.25,0.06,0.89)","(7.0,-0.07,0.8)","(8.75,0.09,0.69)","(10.5,-0.08,0.56)","(12.25,0.07,0.4)","(14.0,-0.07,0.22)","(15.75,0.08,0.01)","(17.5,0.01,0)","(19.25,-0.03,0)","(21.0,-0.06,0)",
"(0.0,0.04,1.0)","(1.88,0.02,0.99)","(3.76,0.01,0.95)","(5.65,-0.04,0.89)","(7.53,0.03,0.8)","(9.41,0.02,0.69)","(11.29,0.02,0.56)","(13.17,0.07,0.4)","(15.05,0.04,0.22)","(16.94,-0.04,0.01)","(18.82,0.09,0)","(20.7,0.03,0)",,
"(0.0,-0.02,1.0)","(1.91,-0.05,0.99)","(3.81,0.04,0.95)","(5.72,0.01,0.89)","(7.62,-0.09,0.8)","(9.53,-0.01,0.69)","(11.44,0.09,0.56)","(13.34,-0.06,0.4)","(15.25,0.02,0.22)","(17.15,0.04,0.01)","(19.06,0.01,0)","(20.96,0.06,0)",,
"(0.0,-0.09,1.0)","(1.93,-0.07,0.99)","(3.87,-0.06,0.95)","(5.8,0.04,0.89)","(7.74,-0.02,0.8)","(9.67,-0.05,0.69)","(11.61,-0.02,0.56)","(13.54,0.06,0.4)","(15.48,0.02,0.22)","(17.41,-0.01,0.01)","(19.35,-0.0,0)","(21.28,0.01,0)",,
"(0.0,0.05,1.0)","(2.03,0.1,0.99)","(4.07,-0.05,0.95)","(6.1,0.05,0.89)","(8.14,0.01,0.8)","(10.17,-0.03,0.69)","(12.2,-0.04,0.56)","(14.24,-0.02,0.4)","(16.27,0.09,0.22)","(18.3,0.09,0.01)","(20.34,0.08,0)",,,
"(0.0,0.0,1.0)","(2.04,0.09,0.99)","(4.09,0.06,0.95)","(6.13,0.01,0.89)","(8.18,-0.1,0.8)","(10.22,0.08,0.69)","(12.27,-0.08,0.56)","(14.31,0.06,0.4)","(16.36,-0.08,0.22)","(18.4,0.09,0.01)","(20.45,-0.02,0)",,,
"(0.0,0.08,1.0)","(1.87,0.09,0.99)","(3.74,0.09,0.95)","(5.62,0.03,0.89)","(7.49,0.08,0.8)","(9.36,-0.08,0.69)","(11.23,-0.08,0.56)","(13.11,0.03,0.4)","(14.98,0.01,0.22)","(16.85,-0.01,0.01)","(18.72,-0.02,0)","(20.59,-0.07,0)",,
"(0.0,0.03,1.0)","(1.67,0.07,0.99)","(3.34,0.01,0.95)","(5.0,0.07,0.89)","(6.67,0.06,0.8)","(8.34,0.06,0.69)","(10.01,0.08,0.56)","(11.68,0.05,0.4)","(13.35,-0.05,0.22)","(15.01,-0.05,0.01)","(16.68,0.04,0)","(18.35,-0.09,0)","(20.02,0.09,0)","(21.69,0.08,0)"
"(0.0,-0.05,1.0)","(1.91,0.08,0.99)","(3.82,-0.06,0.95)","(5.72,0.0,0.89)","(7.63,0.03,0.8)","(9.54,0.0,0.69)","(11.45,0.1,0.56)","(13.36,-0.03,0.4)","(15.26,0.08,0.22)","(17.17,-0.06,0.01)","(19.08,-0.04,0)","(20.99,0.09,0)",,
"(0.0,0.03,1.0)","(1.69,-0.07,0.99)","(3.38,0.05,0.95)","(5.08,-0.02,0.89)","(6.77,-0.02,0.8)","(8.46,-0.0,0.69)","(10.15,-0.06,0.56)","(11.85,0.01,0.4)","(13.54,0.01,0.22)","(15.23,-0.02,0.01)","(16.92,-0.0,0)","(18.62,-0.02,0)","(20.31,0.1,0)",
"(0.0,-0.08,1.0)","(1.75,-0.08,0.99)","(3.51,0.01,0.95)","(5.26,-0.0,0.89)","(7.02,0.09,0.8)","(8.77,-0.0,0.69)","(10.53,0.05,0.56)","(12.28,0.07,0.4)","(14.03,0.07,0.22)","(15.79,-0.04,0.01)","(17.54,0.05,0)","(19.3,0.0,0)","(21.05,-0.01,0)",
"(0.0,-0.04,1.0)","(1.88,0.0,0.99)","(3.76,-0.07,0.95)","(5.65,-0.06,0.89)","(7.53,-0.04,0.8)","(9.41,-0.09,0.69)","(11.29,-0.04,0.56)","(13.17,-0.1,0.4)","(15.05,0.01,0.22)","(16.94,0.05,0.01)","(18.82,0.09,0)","(20.7,-0.07,0)",,
"(0.0,-0.01,1.0)","(2.08,0.08,0.99)","(4.16,0.1,0.95)","(6.24,-0.08,0.89)","(8.32,-0.07,0.8)","(10.4,0.1,0.69)","(12.48,0.04,0.56)","(14.57,0.09,0.4)","(16.65,0.0,0.22)","(18.73,-0.04,0.01)","(20.81,0.03,0)",,,
"(0.0,0.05,1.0)","(1.93,0.08,0.99)","(3.87,-0.08,0.95)","(5.8,-0.0,0.89)","(7.73,-0.1,0.8)","(9.67,-0.0,0.69)","(11.6,-0.08,0.56)","(13.54,-0.04,0.4)","(15.47,0.03,0.22)","(17.4,-0.06,0.01)","(19.34,0.0,0)","(21.27,0.07,0)",,
"(0.0,0.07,1.0)","(2.02,-0.03,0.99)","(4.04,-0.1,0.95)","(6.06,-0.02,0.89)","(8.08,-0.07,0.8)","(10.1,-0.02,0.69)","(12.12,0.0,0.56)","(14.14,-0.09,0.4)","(16.16,0.02,0.22)","(18.18,0.05,0.01)","(20.2,0.04,0)",,,
"(0.0,0.09,1.0)","(1.76,-0.06,0.99)","(3.52,0.07,0.95)","(5.28,-0.06,0.89)","(7.05,-0.03,0.8)","(8.81,-0.0,0.69)","(10.57,-0.01,0.56)","(12.33,-0.03,0.4)","(14.09,0.03,0.22)","(15.85,-0.09,0.01)","(17.62,0.05,0)","(19.38,-0.06,0)","(21.14,0.06,0)",
"(0.0,0.07,1.0)","(1.88,0.05,0.99)","(3.76,0.04,0.95)","(5.64,0.07,0.89)","(7.52,-0.04,0.8)","(9.4,0.09,0.69)","(11.28,-0.04,0.56)","(13.16,-0.09,0.4)","(15.04,-0.06,0.22)","(16.92,-0.0,0.01)","(18.8,-0.1,0)","(20.68,0.07,0)",,
"(0.0,0.01,1.0)","(2.05,-0.01,0.99)","(4.1,0.09,0.95)","(6.15,0.1,0.89)","(8.2,-0.01,0.8)","(10.25,0.09,0.69)","(12.3,-0.03,0.56)","(14.35,0.01,0.4)","(16.4,-0.04,0.22)","(18.45,-0.08,0.01)","(20.5,0.03,0)",,,
"(0.0,-0.0,1.0)","(1.81,-0.08,0.99)","(3.62,-0.06,0.95)","(5.43,0.02,0.89)","(7.24,-0.09,0.8)","(9.05,-0.09,0.69)","(10.86,-0.07,0.56)","(12.67,0.06,0.4)","(14.48,0.01,0.22)","(16.29,-0.02,0.01)","(18.1,0.04,0)","(19.91,0.08,0)","(21.72,0.09,0)",
"(0.0,0.01,1.0)","(2.07,0.05,0.99)","(4.14,-0.05,0.95)","(6.21,0.0,0.89)","(8.28,-0.04,0.8)","(10.35,0.08,0.69)","(12.42,-0.06,0.56)","(14.49,-0.02,0.4)","(16.56,0.06,0.22)","(18.63,-0.01,0.01)","(20.7,0.01,0)",,,
"(0.0,0.09,1.0)","(2.07,-0.01,0.99)","(4.15,-0.08,0.95)","(6.22,0.05,0.89)","(8.29,0.05,0.8)","(10.37,-0.1,0.69)","(12.44,-0.08,0.56)","(14.51,0.07,0.4)","(16.58,-0.02,0.22)","(18.66,-0.06,0.01)","(20.73,-0.01,0)",,,
"(0.0,-0.04,1.0)","(2.03,-0.01,0.99)","(4.06,-0.06,0.95)","(6.09,0.0,0.89)","(8.12,-0.08,0.8)","(10.15,-0.04,0.69)","(12.18,0.07,0.56)","(14.21,-0.07,0.4)","(16.23,-0.06,0.22)","(18.26,-0.09,0.01)","(20.29,-0.03,0)",,,
"(0.0,0.08,1.0)","(2.01,-0.06,0.99)","(4.01,0.08,0.95)","(6.02,-0.06,0.89)","(8.02,0.09,0.8)","(10.03,0.06,0.69)","(12.04,-0.02,0.56)","(14.04,0.01,0.4)","(16.05,0.05,0.22)","(18.06,-0.0,0.01)","(20.06,0.01,0)","(22.07,-0.03,0)",,
"(0.0,0.02,1.0)","(2.0,0.02,0.99)","(4.0,0.02,0.95)","(6.0,0.05,0.89)","(8.0,0.03,0.8)","(10.01,-0.08,0.69)","(12.01,0.04,0.56)","(14.01,-0.1,0.4)","(16.01,0.08,0.22)","(18.01,-0.04,0.01)","(20.01,0.02,0)","(22.01,-0.09,0)",,
"(0.0,0.06,1.0)","(1.68,0.09,0.99)","(3.35,0.04,0.95)","(5.03,-0.08,0.89)","(6.71,-0.08,0.8)","(8.39,0.06,0.69)","(10.06,-0.09,0.56)","(11.74,0.03,0.4)","(13.42,-0.02,0.22)","(15.09,0.02,0.01)","(16.77,-0.05,0)","(18.45,0.06,0)","(20.13,0.1,0)",
"(0.0,0.08,1.0)","(1.79,0.07,0.99)","(3.57,0.08,0.95)","(5.36,0.09,0.89)","(7.14,-0.02,0.8)","(8.93,0.07,0.69)","(10.72,-0.02,0.56)","(12.5,-0.05,0.4)","(14.29,-0.01,0.22)","(16.08,0.09,0.01)","(17.86,-0.07,0)","(19.65,-0.03,0)","(21.43,-0.05,0)",
"(0.0,-0.09,1.0)","(2.04,-0.06,0.99)","(4.08,-0.03,0.95)","(6.12,0.07,0.89)","(8.15,-0.09,0.8)","(10.19,-0.05,0.69)","(12.23,0.01,0.56)","(14.27,0.1,0.4)","(16.31,-0.02,0.22)","(18.35,0.08,0.01)","(20.38,0.06,0)",,,
"(0.0,-0.02,1.0)","(1.83,-0.04,0.99)","(3.66,0.04,0.95)","(5.49,0.01,0.89)","(7.32,-0.08,0.8)","(9.15,0.04,0.69)","(10.98,-0.05,0.56)","(12.81,0.1,0.4)","(14.64,-0.01,0.22)","(16.48,0.01,0.01)","(18.31,0.01,0)","(20.14,-0.09,0)",,
"(0.0,-0.05,1.0)","(1.72,0.06,0.99)","(3.44,-0.1,0.95)","(5.17,0.08,0.89)","(6.89,0.05,0.8)","(8.61,-0.0,0.69)","(10.33,0.01,0.56)","(12.05,-0.03,0.4)","(13.78,-0.06,0.22)","(15.5,-0.03,0.01)","(17.22,-0.08,0)","(18.94,-0.09,0)","(20.66,-0.09,0)",
"(0.0,-0.07,1.0)","(1.9,0.03,0.99)","(3.8,0.0,0.95)","(5.7,-0.01,0.89)","(7.59,-0.09,0.8)","(9.49,-0.09,0.69)","(11.39,0.05,0.56)","(13.29,-0.09,0.4)","(15.19,-0.0,0.22)","(17.09,-0.02,0.01)","(18.99,0.0,0)","(20.88,-0.05,0)",,
"(0.0,0.03,1.0)","(2.07,-0.06,0.99)","(4.15,-0.05,0.95)","(6.22,0.02,0.89)","(8.29,-0.04,0.8)","(10.36,0.03,0.69)","(12.44,0.01,0.56)","(14.51,-0.01,0.4)","(16.58,-0.07,0.22)","(18.65,-0.04,0.01)","(20.73,0.07,0)",,,
"(0.0,-0.06,1.0)","(1.93,0.02,0.99)","(3.86,-0.05,0.95)","(5.79,-0.01,0.89)","(7.71,-0.05,0.8)","(9.64,-0.04,0.69)","(11.57,0.09,0.56)","(13.5,-0.01,0.4)","(15.43,0.04,0.22)","(17.36,-0.05,0.01)","(19.29,0.01,0)","(21.21,-0.07,0)",,
